seed,noV,nodeCnt,supplynodes,demandnodes,totalSupply,avgFC,DSSPiterations,DSSPTime,DSSPpsi,DSSPgbestObj,FixScaniterations,FixScantime,FixScanpsi,FixScangbestObj,PSOiterations,PSOtime,PSOpsi,PSOgBestObj,PSODSSPGap,PSObeatDSSP,PSOFSGap,PSObeatFS
1,122,25,5,4,4191,3961.731485,20,0.017595818,1,347397.7195,98,0.082823527,0.25,347230.1666,701,0.614995679,0.071255182,320979.2235,8.23%,1,8.18%,1
2,576,25,6,4,5084,4071.008112,72,0.224664312,1,313872.9142,276,0.870904444,0.25,310340.3851,2902,9.277895425,0.942031815,279001.2952,12.50%,1,11.23%,1
3,178,25,8,4,5415,3995.904744,33,0.03868816,1,515213.6664,208,0.23261299,0.25,462613.7462,2256,2.537267225,0.231263067,428665.5661,20.19%,1,7.92%,1
4,178,25,8,6,9170,3840.159468,47,0.052518293,1,643569.5521,183,0.205636322,1,643569.5521,1785,2.056190742,1.94536872,584489.6156,10.11%,1,10.11%,1
5,392,25,9,8,12751,4207.063078,81,0.181722897,1,554883.7697,367,0.849691037,0.25,551250.6257,4413,9.854916619,1.161482538,511365.4134,8.51%,1,7.80%,1
6,486,25,9,7,14064,4045.448902,145,0.381220673,1,608135.6632,633,1.648471038,0.75,541010.8865,9875,25.70282593,0.799661311,520619.0664,16.81%,1,3.92%,1
7,226,25,12,7,10336,3819.507617,47,0.063377963,1,716695.3105,233,0.315560547,0.25,673855.9931,3247,4.309886499,0.238117734,657580.5488,8.99%,1,2.48%,1
8,172,25,9,5,12923,3775.068219,27,0.029760233,1,738013.7966,197,0.212631329,1.25,704158.2458,2495,2.75133504,1.314661028,686852.0245,7.45%,1,2.52%,1
9,304,25,8,8,12332,3985.152715,39,0.07178325,1,590568.3219,397,0.728148765,1,590568.3219,3378,5.834938271,1.796014236,563262.4451,4.85%,1,4.85%,1
10,364,25,6,6,9117,3910.262367,98,0.196885148,1,502289.9644,439,0.949274581,0.25,464051.6632,5126,10.59799435,0.611304259,459445.7586,9.33%,1,1.00%,1
11,298,25,7,3,11117,4103.491649,33,0.058475757,1,559076.9677,261,0.469841892,1.25,463977.3429,1806,3.169762349,1.787808341,443449.3197,26.07%,1,4.63%,1
12,310,25,8,4,6032,3785.448894,82,0.141767343,1,361836.5458,394,0.750436243,1,361836.5458,1960,3.560565318,0.563469516,361836.5458,0.00%,0,0.00%,0
13,190,25,8,9,12202,3954.057854,32,0.040167119,1,752599.5475,206,0.25509692,0.75,713423.3426,1786,2.182021711,1.945202228,711997.8096,5.70%,1,0.20%,1
14,106,25,9,5,7285,3552.14265,27,0.020113783,1,681347.8914,92,0.071694472,1.25,618037.6461,784,0.64372774,1.344155032,618037.6461,10.24%,1,0.00%,0
15,582,25,12,4,7217,4036.40993,71,0.232562357,1,456817.8649,651,2.142987486,0.5,432697.9483,5439,16.65377308,0.334486063,403312.8029,13.27%,1,7.29%,1
16,248,25,8,4,5752,4076.760256,56,0.080310003,1,561957.4661,296,0.415854912,0.25,526085.0704,2146,3.227016047,0.101402913,466313.9025,20.51%,1,12.82%,1
17,336,25,10,3,4208,4111.667691,36,0.07371043,1,434356.4163,247,0.48150841,0.25,393610.8491,3196,6.47875041,0.138408029,347426.1681,25.02%,1,13.29%,1
18,148,25,6,5,8918,3826.174266,25,0.024525283,1,586174.9231,151,0.143560876,0.5,535417.13,1386,1.391489842,0.140871239,509569.9862,15.03%,1,5.07%,1
19,422,25,9,8,10965,3959.233944,97,0.228511544,1,631341.1503,469,1.110113834,0.5,590773.6703,4173,9.868574819,0.662893127,556068.1073,13.54%,1,6.24%,1
20,548,25,8,5,5868,4161.080584,148,0.432026772,1,475835.6744,628,1.835635159,1.25,406185.5075,6110,18.07001831,1.757361884,384018.9916,23.91%,1,5.77%,1
21,138,25,7,5,7683,3924.422096,28,0.024690943,1,625103.9382,144,0.125717093,0.25,557639.7519,1021,0.956973617,0.266481039,535448.673,16.74%,1,4.14%,1
22,578,25,10,4,5072,3849.448857,55,0.178610725,1,404117.0984,362,1.156218208,1,404117.0984,3196,10.39772274,1.780336896,365412.7776,10.59%,1,10.59%,1
23,560,25,7,6,11430,4040.36418,71,0.222789025,1,522629.2867,536,1.631299013,0.5,521895.0094,8687,26.26791281,0.567113577,439082.7034,19.03%,1,18.86%,1
24,442,25,7,6,8657,4199.228994,128,0.323142099,1,447101.177,565,1.3410269,0.5,442658.2786,7398,18.4972612,0.660412973,407263.5779,9.78%,1,8.69%,1
25,256,25,10,6,8320,4099.57206,63,0.096008294,1,633372.4673,306,0.448864284,1.25,617318.1367,5801,8.793983629,1.451992828,608782.7342,4.04%,1,1.40%,1
26,460,25,5,4,6108,4104.602521,94,0.233689753,1,316595.0594,460,1.136177812,0.5,297246.3082,3393,8.458525712,0.33280916,289989.1965,9.17%,1,2.50%,1
27,406,25,7,7,10642,3749.039618,118,0.254884456,1,490325.7069,568,1.243586366,1.25,460877.2451,6590,15.12916611,1.12725099,430098.7097,14.00%,1,7.16%,1
28,110,25,5,5,6827,4037.441678,17,0.013226802,1,460141.3718,87,0.064838322,0.5,460141.3718,573,0.465122147,0.826942459,460141.3718,0.00%,0,0.00%,0
29,350,25,5,5,6147,4032.855141,55,0.107273415,1,408648.0602,294,0.570194707,1.25,384746.891,2795,5.614549454,1.483972849,374095.1937,9.24%,1,2.85%,1
30,346,25,11,7,10033,4039.425272,61,0.118464118,1,612018.1597,406,0.79362463,0.75,585614.7741,2798,5.572128398,1,612018.1597,0.00%,0,-4.31%,0
31,54,25,8,5,7222,5093.719055,7,0.003169198,1,772795.6322,28,0.011882644,0.25,772795.6322,172,0.090838924,1.190625545,772795.6322,0.00%,0,0.00%,0
32,90,25,10,3,13970,3792.937238,14,0.009404946,1,900122.8828,70,0.044280991,0.25,838762.7916,924,0.652988982,0.121169934,832945.2171,8.07%,1,0.70%,1
33,362,25,8,7,12189,4040.419999,96,0.197468805,1,597348.5108,393,0.788297042,1.25,573851.5441,3146,6.60310185,0.159115143,554423.35,7.74%,1,3.50%,1
34,340,25,7,6,7635,3878.812365,90,0.17054417,1,504663.7082,413,0.769381755,0.25,453139.4864,3422,6.576446091,1.738737492,439329.2398,14.87%,1,3.14%,1
35,350,25,14,6,8962,4094.745996,67,0.136033134,1,676851.614,342,0.664041508,0.25,616456.6251,5047,9.8198761,1.014305911,579828.1662,16.73%,1,6.32%,1
36,230,25,7,2,2896,3737.397218,21,0.031355524,1,381046.6966,113,0.160972692,0.75,367707.3804,1139,1.72599087,0.410998574,327562.0776,16.33%,1,12.26%,1
37,424,25,9,6,9454,3843.521519,110,0.263197933,1,508459.5563,417,0.965136735,1.25,471282.3783,4742,11.25945791,1.294839353,445608.6497,14.10%,1,5.76%,1
38,402,25,8,7,9139,3837.361905,152,0.332550467,1,731610.4289,453,0.991155948,1.25,586749.2342,4266,9.725599959,0.243486639,562808.0723,29.99%,1,4.25%,1
39,164,25,11,3,4104,4190.67378,14,0.015622162,1,469825.317,86,0.097835434,1,469825.317,664,0.754568107,0.658146374,469825.317,0.00%,0,0.00%,0
40,302,25,7,7,8515,3875.484668,56,0.098375426,1,474854.2848,273,0.472451654,1,474854.2848,1790,3.295603298,1,474854.2848,0.00%,0,0.00%,0
41,258,25,8,7,13904,4034.725402,69,0.103766056,1,689864.458,369,0.544683019,0.25,664261.9158,3274,5.087238327,1.21889939,636138.4948,8.45%,1,4.42%,1
42,402,25,7,4,6241,3902.124898,87,0.191186295,1,461530.3379,475,1.016689021,0.75,408917.8737,3165,7.213408029,1.202230023,373118.5607,23.70%,1,9.59%,1
43,68,25,8,7,12985,3987.592371,10,0.005526065,1,844965.8037,49,0.025852414,1.25,803113.8723,337,0.209844785,1.735548514,803113.8723,5.21%,1,0.00%,0
44,274,25,9,4,6516,4138.818719,34,0.055451405,1,422311.3149,226,0.357778363,0.5,348140.4637,4324,6.752628666,1.231633164,372420.1853,13.40%,1,-6.52%,0
45,198,25,10,3,4917,4078.47897,23,0.028687011,1,493564.3829,102,0.127172093,0.25,454997.7369,1172,1.514369737,0.372757625,453481.576,8.84%,1,0.33%,1
46,540,25,6,5,10408,4062.032573,98,0.283028584,1,356152.9383,467,1.324794082,0.75,326354.6712,4534,13.41554352,1.789663898,318373.8091,11.87%,1,2.51%,1
47,242,25,7,5,7725,4077.645106,43,0.060845171,1,570698.4511,287,0.399543399,1.25,529637.7211,2111,3.059092774,0.36948364,499640.6395,14.22%,1,6.00%,1
48,350,25,5,6,8801,3886.649636,45,0.091389221,1,559107.6436,283,0.556853356,0.75,497879.3538,3292,6.718590943,1.879846664,483279.5324,15.69%,1,3.02%,1
49,84,25,6,5,6981,4486.851804,13,0.007994418,1,620631.3911,63,0.038194682,0.25,620631.3911,357,0.244482987,0.055791718,620631.3911,0.00%,0,0.00%,0
50,322,25,6,4,9116,3886.21886,85,0.148796318,1,513303.326,399,0.69884347,1.25,453271.6499,2351,4.408065757,0.663522585,415776.0284,23.46%,1,9.02%,1
51,182,25,6,6,9278,4059.395708,50,0.055741095,1,534146.0233,194,0.215910283,0.5,534146.0233,1825,2.145361381,0.103785316,517088.5709,3.30%,1,3.30%,1
52,590,25,7,5,9771,4057.73835,129,0.400651289,1,394919.5651,635,1.928988976,1,394919.5651,3740,12.09500664,1,394919.5651,0.00%,0,0.00%,0
53,388,25,12,7,11365,3899.921293,144,0.297010405,1,636157.8631,575,1.191240003,1,636157.8631,4840,10.50848555,0.952708291,604325.7816,5.27%,1,5.27%,1
54,554,25,8,7,10220,4008.960785,114,0.338779943,1,537706.9283,708,2.041882222,0.5,529185.9375,5893,17.74121328,0.375933463,504810.0346,6.52%,1,4.83%,1
55,98,25,10,1,1188,4157.763103,10,0.007289582,1,466005.3225,50,0.03571009,0.75,466005.3225,322,0.254096648,1.946523096,466005.3225,0.00%,0,0.00%,0
56,582,25,8,3,12501,3995.484486,134,0.407832523,1,444264.6235,593,1.75060903,0.25,402561.8666,5023,15.60247571,0.6684355,369995.1621,20.07%,1,8.80%,1
57,70,25,7,6,9850,3692.083551,9,0.005084117,1,682889.9649,42,0.022978625,1.25,681442.6301,327,0.208254056,1.418572313,681442.6301,0.21%,1,0.00%,0
58,368,25,7,4,5520,3938.313669,55,0.114824745,1,447986.3296,291,0.604568125,0.75,407046.5676,4457,9.349911625,0.888815689,405223.1675,10.55%,1,0.45%,1
59,172,25,11,7,10875,3968.051236,57,0.059150655,1,712466.0251,240,0.248932487,0.25,688929.4602,3784,4.10902182,0.383570195,666054.0816,6.97%,1,3.43%,1
60,218,25,8,4,11277,4040.84982,31,0.040645564,1,527259.652,186,0.243237656,1,527259.652,2430,3.261719544,0.950648964,507251.9576,3.94%,1,3.94%,1
1,414,50,19,10,12470,3969.158904,74,0.177057348,1,1034501.319,255,0.625099509,0.25,1019636.161,8064,19.6009748,0.90457495,1027666.674,0.67%,1,-0.78%,0
2,2348,50,16,9,13868,4007.583864,476,6.407716761,1,780126.7401,2271,28.67149614,1,780126.7401,45336,562.9537092,1.846660109,762608.9651,2.30%,1,2.30%,1
3,658,50,15,9,13457,4149.854252,125,0.467661497,1,1196732.25,561,2.049598314,0.75,950800.4818,18989,67.92700809,1.418311739,944534.4217,26.70%,1,0.66%,1
4,652,50,17,7,11587,3902.83187,98,0.360657243,1,1055419.481,651,2.342465933,0.25,944943.9338,17102,61.77684516,1.374501453,908397.564,16.18%,1,4.02%,1
5,1564,50,17,8,10209,4060.411836,381,3.23653476,1,857596.2662,1364,11.4980734,0.5,814349.1279,26654,223.3234344,0.708249935,753004.6489,13.89%,1,8.15%,1
6,1964,50,15,10,15145,4016.890259,427,4.711937197,1,848006.4149,2370,24.62813154,1,848006.4149,92347,965.5545317,1.179642942,768070.1371,10.41%,1,10.41%,1
7,860,50,10,10,13860,3967.937402,139,0.670554007,1,803122.4725,866,4.058403018,0.25,783864.2717,19552,91.03685678,0.504411645,724084.5496,10.92%,1,8.26%,1
8,630,50,17,6,9777,4074.306927,58,0.207402949,1,949925.7877,240,0.887821566,0.25,899861.7448,7125,26.05378768,0.357316874,859538.5067,10.52%,1,4.69%,1
9,1186,50,20,10,13573,3900.421855,267,1.640435653,1,927251.6633,1316,8.404076339,1,927251.6633,36273,225.8387895,0.324829526,920559.7402,0.73%,1,0.73%,1
10,1442,50,18,9,12805,4053.692737,177,1.452112613,1,935109.6156,1308,10.37778426,1.25,881094.9431,34181,266.231054,1.441193067,827806.1602,12.96%,1,6.44%,1
11,1162,50,17,8,10490,4077.97658,275,1.676356076,1,913327.2211,1012,6.266262186,1.25,808181.3791,13260,82.18972188,1.324841329,785063.4338,16.34%,1,2.94%,1
12,1214,50,14,12,15339,3853.336404,179,1.194053542,1,1059444.775,1033,6.865294296,0.75,929509.4889,28332,185.9705172,1.612669264,892728.6358,18.67%,1,4.12%,1
13,706,50,11,11,16908,4039.852246,66,0.280125411,1,1015568.023,508,2.064225585,0.25,1011388.101,11763,46.20850183,0.152850573,924863.8364,9.81%,1,9.36%,1
14,348,50,11,9,15930,4125.115359,69,0.140515631,1,1101250.703,244,0.516017833,0.25,938911.911,9461,20.13266663,0.352207743,904901.6038,21.70%,1,3.76%,1
15,2370,50,15,15,23452,3984.521016,368,5.147274305,1,1010016.761,2427,31.76900881,1,1010016.761,49656,642.1062792,0.72006493,937437.9365,7.74%,1,7.74%,1
16,948,50,17,8,12465,3806.1586,180,0.933567461,1,898388.8239,986,5.079143685,0.5,833154.6068,12426,63.09009217,0.935625124,774554.6917,15.99%,1,7.57%,1
17,1326,50,19,7,10641,3949.822955,275,1.935700504,1,925523.6377,1383,9.691539386,0.75,803316.7621,31378,218.5835714,0.512097561,778327.37,18.91%,1,3.21%,1
18,524,50,11,10,16621,3816.768177,113,0.330955461,1,912449.2351,543,1.607510344,0.5,873488.39,9675,29.21496511,1.579477293,782705.2358,16.58%,1,11.60%,1
19,1690,50,17,12,17252,4049.61873,563,5.018173772,1,961919.2106,1763,16.37322366,1.25,894470.2447,82562,756.7967879,1.908703702,806215.8508,19.31%,1,10.95%,1
20,2228,50,14,11,15885,4029.671766,393,4.894443055,1,740763.1608,2532,31.69299638,1,740763.1608,28862,347.4429275,1,740763.1608,0.00%,0,0.00%,0
21,486,50,17,15,24951,3910.198736,131,0.359045129,1,1238662.085,588,1.602506375,1,1238662.085,7511,21.09487776,0.758955652,1163736.645,6.44%,1,6.44%,1
22,2352,50,14,8,11864,3962.06708,262,3.674927585,1,770393.0987,1934,25.61382418,1.25,712909.7509,28912,368.7642793,0.814778835,675013.7303,14.13%,1,5.61%,1
23,2274,50,13,10,19063,4050.359175,608,7.859768927,1,775790.4189,2421,30.09130918,0.25,738316.5968,74099,907.173122,0.865217014,698807.0983,11.02%,1,5.65%,1
24,1774,50,13,9,19480,3888.810451,232,2.354085043,1,798916.868,1622,15.84160286,0.5,770146.9766,30176,282.9964333,0.449632252,708280.8052,12.80%,1,8.73%,1
25,984,50,19,11,16108,4017.653858,242,1.340881621,1,1043751.546,1331,7.132799634,0.75,971690.6452,25264,131.6333305,1.087475252,945682.4361,10.37%,1,2.75%,1
26,1856,50,18,9,12967,4027.825587,224,2.596974735,1,854412.2048,1496,15.61698738,0.25,789231.103,39745,395.115894,0.219723317,747186.4172,14.35%,1,5.63%,1
27,1624,50,17,8,12770,4065.336779,270,2.503000259,1,927584.4554,1673,14.4919161,1.25,863852.1671,26771,230.5375159,1.256158784,772399.6785,20.09%,1,11.84%,1
28,362,50,15,14,18980,3918.778996,82,0.180792525,1,1280806.412,378,0.828813794,0.25,1250278.483,5831,12.89238472,0.623823767,1274097.943,0.53%,1,-1.87%,0
29,1388,50,10,11,13229,4010.725014,256,2.0032305,1,738855.4183,1295,9.916401499,1.25,669734.8635,32675,239.2376821,0.180075752,634337.9106,16.48%,1,5.58%,1
30,1366,50,22,13,16540,4013.292357,470,3.300675155,1,1136632.249,1772,12.65709326,1,1136632.249,21072,150.8554615,0.853991788,1011150.987,12.41%,1,12.41%,1
